Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
Good Times Roll - 2016 Remaster,0.631,0.689,4,-8.358,1,0.0284,0.0731,0.000357,0.102,0.645,107.667,225227
Africa,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893
The Chain - 2004 Remaster,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213
Free Bird,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107
Crazy Train,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183
Rock And Roll All Nite,0.654,0.929,1,-5.906,1,0.0998,0.0468,0,0.0539,0.902,144.774,168840
"Another Brick in the Wall, Pt. 2",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747
Paranoid - 2012 - Remaster,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406
"Rocket Man (I Think It's Going To Be A Long, Long Time)",0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613
Runnin' with the Devil - 2015 Remaster,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960
"Paint It, Black - Mono",0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480
Limelight,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840
Under Pressure - Remastered 2011,0.663,0.712,2,-7.268,1,0.0479,0.524,0,0.0804,0.527,113.439,236520
Hey Joe,0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160
Don't Cry (Original),0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733
Mississippi Queen,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,151293
Immigrant Song - Remaster,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250
All Right Now,0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,330643
Born in the U.S.A.,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680
My Sharona,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400
Every Breath You Take,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920
Old Time Rock & Roll,0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,194147
Back on the Chain Gang - 2007 Remaster,0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,231120
Uprising,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840
Sunshine Of Your Love,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400
Back In Black,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493
Heroes - 2017 Remaster,0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,371413
La Grange - 2005 Remaster,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480
Life in the Fast Lane - 2013 Remaster,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220
Peace of Mind,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,303587
Bullet With Butterfly Wings - Remastered 2012,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467
Light My Fire,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760
Layla,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,423840
I Love Rock 'N Roll,0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,175173
Californication,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733
I Want To Hold Your Hand - Remastered 2015,0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,145747
Sweet Home Alabama,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800
Smells Like Teen Spirit,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
Go Your Own Way - 2004 Remaster,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613
Sunday Bloody Sunday - Remastered 2008,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440
Don't Stop Believin',0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987
Learn to Fly,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293
The Boys Are Back In Town,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720
Zombie,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,306440
Won't Get Fooled Again - Original Album Version,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400
Iron Man - 2012 - Remaster,0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304
You Really Got Me,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253
